Pedro Beltrao	Department of Biology, ETH Zurich, Switzerland
Tim Van Den Bossche	VIB-UGent Center for Medical Biotechnology, 9052, Zwijnaarde, Belgium; Department of Biomolecular Medicine, Ghent University, 9000, Ghent, Belgium
Ralf Gabriels	VIB-UGent Center for Medical Biotechnology, 9052, Zwijnaarde, Belgium; Department of Biomolecular Medicine, Ghent University, 9000, Ghent, Belgium
Tanja Holstein	VIB-UGent Center for Medical Biotechnology, 9052, Zwijnaarde, Belgium; Department of Biomolecular Medicine, Ghent University, 9000, Ghent, Belgium
Tobias Kockmann	Functional Genomics Center Zürich, ETH Zurich/University of Zurich, Winterthurerstrasse 190, CH-8057 Zürich, Switzerland
Alireza Nameni	VIB-UGent Center for Medical Biotechnology, 9052, Zwijnaarde, Belgium; Department of Biomolecular Medicine, Ghent University, 9000, Ghent, Belgium
Christian Panse\footnote{Correspondence: \url{cp@fgcz.ethz.ch}}	Functional Genomics Center Zürich, ETH Zurich/University of Zurich, Winterthurerstrasse 190, CH-8057 Zürich, Switzerland;Swiss Institute of Bioinformatics, Quartier Sorge - Batiment Amphipole, 1015 Lausanne, Switzerland
Ralph Schlapbach	Functional Genomics Center Zürich, ETH Zurich/University of Zurich, Winterthurerstrasse 190, CH-8057 Zürich, Switzerland
Ludwig Lautenbacher	Computational Mass Spectrometry, TUM School of Life Sciences, Technical University of Munich, Maximus-von-Imhof-Forum 3, D - 85354 Freising, Germany
Matthias Mattanovich	Novo Nordisk Foundation Center for Basic Metabolic Research, University of Copenhagen, Blegdamsvej 3B, DK-2200 Copenhagen, Denmark
Alexey Nesvizhskii	Departments of Pathology and Computational Medicine and Bioinfoirmatics, University of Michigan, Ann Arbor, Michigan, 48105 USA 
Bart Van Puyvelde	ProGenTomics, Laboratory of Pharmaceutical Biotechnology, Ghent University, Ottergemsesteenweg 460, BE-9000 Ghent, Belgium
Jonas Scheid	Department of Peptide-based Immunotherapy, Institute of Immunology, University and University hospital Tübingen, Auf der Morgenstelle 15, D-72076 Tübingen, Germany; Quantitative Biology Center (QBiC), University of Tübingen, Auf der Morgenstelle 10, D-72076 Tübingen, Germany
Veit Schwämmle	Department of Biochemistry and Molecular Biology, University of Southern Denmark, Campusvej 55, 5230 Odense, Denmark
Maximilian Strauss	Proteomics Program, Novo Nordisk Foundation Center for Protein Research, Faculty of Health and Medical Sciences, University of Copenhagen, Copenhagen, Denmark
Anna Klimovskaia Susmelj	Biognosys, Schlieren, Zurich 8952, Switzerland; now AI Center ETH Zürich
Matthew The	TUM School of Life Sciences Technische Universität München D - 85354 Freising
Henry Webel	Novo Nordisk Foundation Center for Protein Research, Faculty of Health and Medical Sciences, University of Copenhagen, Copenhagen, Denmark
Mathias Wilhelm	Computational Mass Spectrometry, TUM School of Life Sciences, Technical University of Munich, Maximus-von-Imhof-Forum 3, D - 85354 Freising, Germany
Dirk Winkelhardt	Ruhr-Universität Bochum, Germany
Witold E. Wolski	Functional Genomics Center Zürich, ETH Zurich/University of Zurich, Winterthurerstrasse 190, CH-8057 Zürich, Switzerland;Swiss Institute of Bioinformatics, Quartier Sorge - Batiment Amphipole, 1015 Lausanne, Switzerland
Muyao Xi	Novo Nordisk Foundation Center for Basic Metabolic Research, University of Copenhagen, Blegdamsvej 3B, DK-2200 Copenhagen, Denmark
